Designator,Mid X,Mid Y,Layer,Rotation
3V3_1,169.610001,-142.465,top,0
BOOT_ESP1,171.77,-106.659999,top,-90
C1,171.310001,-136.68,top,180
C2,171.150001,-132.15,top,180
C3,166.070001,-136.65,top,0
C4,168.570001,-136.265,top,180
C5,150.41,-132.69,top,180
C6,164.92,-98.84,top,180
C7,162.93,-102.29,top,0
C8,150.37,-134.4,top,180
C9,154.54,-105.5,top,0
C10,151.96,-105.51,top,0
C11,162.93,-101.23,top,0
C12,150.815,-91.88,top,180
C13,150.835,-90.3,top,180
C14,162.94,-99.86,top,0
C15,162.94,-98.8,top,0
C16,150.835,-88.72,top,180
C17,166.39,-85.39,top,0
C18,166.39,-86.93,top,0
C19,166.41,-88.48,top,0
C34,164.94,-101.38,top,180
C35,164.92,-99.88,top,180
C36,153.31,-100.89,top,90
C37,153.32,-102.83,top,-90
C38,153.33,-98.98,top,-90
C39,153.32,-97.06,top,90
C61,164.940003,-102.440001,top,180
DEBUG3,158.797501,-106.95,top,0
FB2,163.3,-134.8,top,-90
IC1,159.17,-120.42,top,90
IC2,157.91,-100.65,top,-90
IC3,148.73,-100.75,top,-90
IC4,159.432501,-134.2,top,90
IC6,153.26,-107.905,top,0
IC11,170.02,-100.41,top,90
J3,156.457501,-138.94,top,0
L1,171.640001,-134.44,top,0
Q1,150.764,-79.58,top,180
Q2,154.267999,-79.58,top,180
Q3,147.26,-79.58,top,180
Q4,157.771999,-79.58,top,180
Q5,161.275998,-79.58,top,180
Q6,164.779998,-79.58,top,180
R1,165.810001,-138.845001,top,-90
R2,153.47,-138.880001,top,-90
R3,168.5,-90.7925,top,-90
R4,168.48,-88.080001,top,90
R5,168.46,-84.699999,top,-90
R7,152.49,-77.080001,top,-90
R8,171.31,-138.229999,top,180
R9,171.300001,-139.78,top,0
R10,168.760001,-138.33,top,90
R11,168.92,-108.81,top,-90
R12,156.657501,-106.7,top,90
R14,156.64,-77.080001,top,-90
R15,150.16,-135.92,top,0
R19,160.83,-77.050001,top,-90
R20,165.02,-77.12,top,-90
R21,167.3,-79.2,top,90
R24,172.110001,-142.425,top,180
R25,148.36,-77.120001,top,-90
R30,168.47,-81.7825,top,-90
RAND10,146.29,-77.300001,top,0
RAND11,150.45,-77.29,top,0
RAND12,154.59,-77.26,top,0
RAND13,158.78,-77.26,top,0
RAND14,163,-77.32,top,0
RAND15,167.1575,-77.29,top,0
RST_ESP1,154.54,-134.38,top,90
U1,167.100001,-133.795,top,180
U2,159.09,-88.35,top,180
